frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
577294	<p>	33.005222642189246	0.7674460500195741	30.46420194909353	https://rangado.24.hu/nemzetkozi_foci/2018/01/25/konnyfakaszto-keppel-emlekszik-vissza-feher/ https://rangado.24.hu/valogatott/2016/01/07/nikolics-mar-angliaban-van-alairhat-uj-csapatahoz/ https://rangado.24.hu/nemzetkozi_foci/2016/08/20/a-barca-beismerte-a-manchester-city-viszi-bravot/ https://rangado.24.hu/nemzetkozi_foci/2020/03/12/marca-dontott-az-uefa-lefujja-a-bajnokok-ligajat/ https://rangado.24.hu/teremfoci/2012/09/04/dramai-csatak-napja-volt/	bekezdes	default
236988	<strong>	5.395699360305163	0.1237995172751363	3.92648994885817	https://rangado.24.hu/nemzetkozi_foci/2020/05/07/marc-jurado-barcelona-manchester-united/ https://rangado.24.hu/magyar_foci/2018/07/04/extrem-szigoritasok-dzsudzsak/ https://rangado.24.hu/nemzetkozi_foci/2018/04/08/ronaldo-es-griezmann-is-megvillant-a-madridi-derbin-video/ https://rangado.24.hu/nemzetkozi_foci/2019/04/18/buffon-vedonek-kepzelte-magat-kis-hijan-gol-lett-belole/ https://rangado.24.hu/nb1/2014/08/05/egressyt-lenyugozte-a-fradi-stadion/	felkover	default
214166	<a href=@LINK target=@target>	4.879878225301868	0.010468515077089733	4.80348421318043	https://rangado.24.hu/foci_vb_2014/2014/06/24/cipot-kapott-ajandekba-messi/ https://rangado.24.hu/nb1/2015/06/14/stieber-felemelo-erzes-volt-golt-loni/ https://rangado.24.hu/video/2013/12/07/fabregas-bomba/ https://rangado.24.hu/nb2/2012/06/28/alakul-a-spartacus-megujulo-kerete/ https://rangado.24.hu/nb1/2014/07/19/paks-vasas/	hivatkozas	href
116057	<p>	25.649137923606503	0.7474861490474508	23.7336050389033	https://sokszinuvidek.24.hu/otthon-keszult/2017/04/24/szent-gyorgy-napi-inyenc-falatok-az-ohontol-a-kurbanig/ https://sokszinuvidek.24.hu/kertunk-portank/2018/02/18/hungarikum-ami-tobb-mint-testor/ https://sokszinuvidek.24.hu/eletmod/2021/07/21/nyaralas-betegseg-nelkul/ https://sokszinuvidek.24.hu/mozaik/2019/11/09/szabadon-bolenyek-orseg/ https://sokszinuvidek.24.hu/eletmod/2021/01/01/ejfel-utan-egy-perccel-szulettek-az-ev-elso-babai/	bekezdes	default
96453	<li>	4.929374928721761	0.9728883497662074	0.5167594579743502	https://rangado.24.hu/kiemelt-hirek/2011/09/26/nagy-tragedia-nem-tortent/ https://rangado.24.hu/hirek/2012/02/09/a-paks-is-elutazott-torokorszagba/ https://rangado.24.hu/nb1/2014/12/22/nagy-tibor-hosszabbitott-az-mtk-val/ https://rangado.24.hu/nb2/2014/10/31/vago-attila-maradt-az-egy-ev/ https://rangado.24.hu/nb1/2013/02/26/a-videoton-volt-a-legaktivabb/	listaelem	default
64901	<h2>	3.1722931850048535	0.03548481533412428	3.128765350302769	https://rangado.24.hu/nemzetkozi_foci/2014/01/27/mandzukic-szinte-biztos-tavozo/ https://rangado.24.hu/nb2/2016/03/19/nb-ii-szombat-14/ https://rangado.24.hu/nb1/2013/07/17/puskas-gyozelem-vezeraldozattal/ https://rangado.24.hu/hirek/2013/04/14/palermo-bologna/ https://rangado.24.hu/nb1/2017/10/25/kubatov-akkora-ongolt-lott-mint-a-telt-haz-video/	cimsor	default
63638	<p style=@STYLE>	22.85502372796128	0.5708067506835538	17.724268518809517	https://rangado.24.hu/video/2017/02/07/atyaeg-mekkora-golt-lott-a-puskas-akademia-vedoje/ https://rangado.24.hu/nemzetkozi_foci/2019/09/15/a-debutalo-mhitarjan-is-betalalt-hatgolos-meccsen-nyert-az-as-roma/ https://rangado.24.hu/magyar_foci/2019/02/16/balogh-norbert-beallt-majd-harom-perc-alatt-kettot-lott-az-apoel/ https://rangado.24.hu/video/2018/11/14/a-totyogas-mar-a-multe-ilyen-buntetot-meg-nem-lattunk-video/ https://rangado.24.hu/nemzetkozi_foci/2020/01/05/kinos-mu-mutato-egy-loves-sem-talalta-el-a-wolves-kapujat/	bekezdes	default
49964	<noscript>	0.0001000720518773517	1.5780962292850853	0.0	https://sokszinuvidek.24.hu/kertunk-portank/2016/12/19/elhagyta-a-varost-bekes-lakot-epitett-az-erdo-kozepen/ https://sokszinuvidek.24.hu/mozaik/2020/01/10/hallstatt-osztrak-csodafalu-velence/ https://sokszinuvidek.24.hu/kertunk-portank/2016/05/28/ujra-divatba-jottek-a-nadtetos-hazak/ https://sokszinuvidek.24.hu/viragzo-videkunk/2016/06/26/tobb-tizezer-szal-rozsat-osztottak-szet-szoregen/ https://sokszinuvidek.24.hu/eletmod/2020/02/22/videki-hangok-illatok-torveny/	decompose	default
43164	<h2 style=@STYLE>	3.6369659901769995	0.33877768510796036	3.6369659901769995	https://rangado.24.hu/magyar_foci/2019/09/22/szerhij-rebrov-ftc-bajnoksag-zalaegerszeg/ https://rangado.24.hu/magyar_foci/2019/04/25/elmenyszamba-ment-a-honved-golja-a-magyar-kupaban/ https://rangado.24.hu/nemzetkozi_foci/2021/04/07/juventus-edzovaltas-zinedine-zidane/ https://rangado.24.hu/nemzetkozi_foci/2021/04/14/bl-negyeddonto-psg-bayern-neymar-kimmich/ https://rangado.24.hu/nemzetkozi_foci/2020/02/20/bejelentette-uj-csatarat-az-fc-barcelona/	cimsor	default
35809	<td>	1.156441118154654	0.005501410259990505	1.148761484542992	https://rangado.24.hu/magyar_foci/2019/04/14/rebrov-megtorte-a-csendet-lanzafamerol-beszelt/ https://rangado.24.hu/nemzetkozi_foci/2020/11/08/premier-league-fulham-west-ham-united-ademola-lookman-panenkazas-tizenegyes/ https://rangado.24.hu/nemzetkozi_foci/2014/03/22/jol-szerepeltek-a-legiosaink/ https://rangado.24.hu/nb1/2017/04/28/a-honved-es-a-videoton-is-gyozelemmel-tudja-le-a/ https://rangado.24.hu/magyar_foci/2019/06/09/dzsudzsak-balazs-mindent-a-helyen-kell-kezelnunk/	oszlop	default
