frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute	
1	<:->	210	123	160	https://eletmod.transindex.ro/?cikk=1301	default	default	
1	<a a= b= eggy= k= ki= lerontotta= mi= mind= nemzets= tette= v=>	2	0	2	https://itthon.transindex.ro/?hir=13417	default	default	
1	<a a= charlie= hebdo= href=@LINK miatt= pakiszt= style=@STYLE voltak=>	9	0	9	https://welemeny.transindex.ro/?cikk=24881	default	default	
3	<a a= fert= href=@LINK lesznek= miatt= style=@STYLE t=>	6	0	6	https://itthon.transindex.ro/?hir=42880 https://itthon.transindex.ro/?hir=42851 https://itthon.transindex.ro/?hir=42824	default	default	
1	<a ad= class=trdeflink href=@LINK image= only-smartphone=>	3	1	3	https://itthon.transindex.ro/?hir=11245	default	default	
1	<a at= href=@LINK livestream.com= szinhazvilagnap= title=@title>	1	0	1	https://multikult.transindex.ro/?hir=8590	default	default	
118	<a class=dossz href=@LINK>	4.669491525	0	4.669491525	https://tech.transindex.ro/?cikk=1124 https://tech.transindex.ro/?cikk=338 https://sarm.transindex.ro/?cikk=63 https://tech.transindex.ro/?cikk=1121 https://sarm.transindex.ro/?cikk=68	default	default	
3	<a class=external free href=@LINK rel=nofollow>	1	0	1	https://itthon.transindex.ro/?hir=59751 https://itthon.transindex.ro/?hir=60230 https://eletmod.transindex.ro/?cikk=27636	default	default	
2	<a class=external text href=@LINK rel=nofollow>	2.5	0	2.5	https://eletmod.transindex.ro/?cikk=27636 https://vilag.transindex.ro/?hir=36201	default	default	
2	<a class=extiw href=@LINK title=@title>	1.5	0	1.5	https://eletmod.transindex.ro/?cikk=25704 https://vilag.transindex.ro/?hir=35622	default	default	
789	<a class=galeria_more onclick=@galeriaNUM style=@STYLE>	2	0	2	https://eletmod.transindex.ro/?cikk=19208 https://multikult.transindex.ro/?cikk=20848 https://itthon.transindex.ro/?cikk=16351 https://eletmod.transindex.ro/?hir=19706 https://multikult.transindex.ro/?cikk=14801	default	default	
1	<a class=galeria_more onclick=@LONG style=@STYLE>	2	0	2	https://eletmod.transindex.ro/?cikk=17248	default	default	
1	<a class=gie-single href=@LINK id=@gFnKSKNUM style=@STYLE target=@target>	4	0	4	https://multikult.transindex.ro/?cikk=29012	default	default	
