frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute	
18519	<div class=long-img>	11.818348722933203	4.998110049138722	0.0	https://telex.hu/belfold/2021/08/10/egeszsegugyi-szolgalati-jogviszony-halapenz-felmeres-orvos-apolo https://telex.hu/pr-cikk/2022/01/30/a-legjobb-magazinok-egy-helyen-most-2-honapot-ajandekba-adunk-x-2 https://telex.hu/kulfold/2021/09/24/gabby-petito-gyilkossag-brian-laundrie-stoppolas-wyoming-allam-grand-teton-nemzeti-park https://telex.hu/kulfold/2021/06/25/raman-prataszevics-belarusz-ujsagiro-baratnoje-szofija-szapega-hazi-orizet-ryanair-gepelterites https://telex.hu/kulfold/2021/06/22/a-vatikan-a-homofobia-elleni-torvenytervezet-modositasara-szolitotta-fel-az-olasz-kormanyt	default	default	 
17500	<div class=long-img--normal>	12.036514285714286	4.2024	0.0	https://telex.hu/belfold/2020/10/22/zavecz-research-2020-oktober-partpreferenciak https://telex.hu/szorakozas/2020/12/21/kina-mcdonalds-oreo-loncshus-burger https://telex.hu/szorakozas/2021/03/28/jarvany-koncert-barcelona-maszk-kiserlet https://telex.hu/gazdasag/2021/03/12/ginop-palyazat-felfuggesztese-hatranyos-helyzetu https://telex.hu/belfold/2021/01/25/belfold-hohelyzet-idojaras-fennakadasok	default	default	 
1853	<div class=hint_box>	16.547760388559094	3.1899622234214786	0.0	https://telex.hu/belfold/2021/01/07/karcag-rendorseg-volt-elettars-gyanusitott-gyilkossag https://telex.hu/kulfold/2021/10/04/koronavirus-koronavirus-jarvany-jarvany-karterites-india https://telex.hu/belfold/2022/01/31/buky-dorottya-meghalt-feldmar-intezet https://telex.hu/kulfold/2021/10/15/isztambul-kutya-nevezetesseg-boji https://telex.hu/kulfold/2021/05/10/jemen-kinzas-magyar-gyilkossag	default	default	 
953	<div class=long-img--bigger>	7.7628541448058765	3.9034627492130114	0.0	https://telex.hu/vesezo/2021/10/20/vesezo-x-20 https://telex.hu/komplex/2021/08/10/bulinegyed-belvaros-budapest-szorakozohelyek-szorakozas-ejszakai-elet https://telex.hu/kulfold/2021/12/30/sziberia-permafroszt-olvadas-nagykep-boleny-mamut-nemzeti-park-globalis-felmelegedes-1 https://telex.hu/komplex/2021/10/13/ivermectin-koronavirus-jarvany-kutatasok-oltasellenesek https://telex.hu/foto/2021/05/18/a-vilag-minden-tajarol-jonnek-a-zarandokok-egy-magyar-faluba-a-csodarabbi-sirjat-latogatni	default	default	 
69	<div class=long-img--full>	12.101449275362318	4.202898550724638	0.0	https://telex.hu/komplex/2021/08/02/balaton-vendeglatas-pincer-szakacs-fizetes-langos-arak https://telex.hu/belfold/2022/02/07/gyulai-husipar-kenomajas-majkrem-uzemlatogatas-hungarikum https://telex.hu/foto/2021/05/16/minden-rendszer-a-titkaival-arulja-el-magarol-a-legtobbet https://telex.hu/foto/2021/11/30/hinar-alga-metan-moszat-szarvasmarha-birka-tehen-irorszag-klimavaltozas https://telex.hu/komplex/2021/12/20/kihalo-falvak-aprofalvak-videk-falu-fiatalok-komplex	default	default	 
264	<thead>	2.0757575757575757	5.162878787878788	0.0	https://telex.hu/belfold/2021/12/12/lajkbajnoksag-55 https://telex.hu/belfold/2021/10/16/lajkbajnoksag-47 https://telex.hu/belfold/2022/02/16/foglalkozasa-kommentelo https://telex.hu/belfold/2021/07/18/lajkbajnoksag-34 https://telex.hu/belfold/2021/08/29/lajkbajnoksag-40	default	default	 
1068	<th>	0.5926966292134831	0.03651685393258427	0.5468164794007491	https://telex.hu/sport/2021/07/24/tokioi-olimpia-eremtablazat-tokyo2020 https://telex.hu/belfold/2021/10/31/lajkbajnoksaag-49 https://telex.hu/belfold/2021/04/11/lajkbajnoksag-20 https://telex.hu/belfold/2021/12/12/lajkbajnoksag-55 https://telex.hu/belfold/2020/12/27/orban-ledobta-a-cukisag-atombombat-meg-is-lett-az-eredmenye	oszlop	default	 
13	<div class=article-av-codes>	0.15384615384615385	2.1538461538461537	0.0	https://telex.hu/tamogatott-tartalom/2021/06/23/ha-itt-esek-ossze-akkor-is-kiuszom-magam https://telex.hu/tamogatott-tartalom/2021/06/16/haromeves-kora-ota-egyetlen-edzest-sem-hagyott-ki-peldakepei-szoboszlai-es-puskas https://telex.hu/tamogatott-tartalom/2021/06/09/a-koronavirus-utan-a-setalas-is-nehezere-esett-megis-ott-lesz-tokioban-a-magyar-evezos https://telex.hu/tamogatott-tartalom/2021/12/02/telekom-karacsony-ajandek-10-nap-mobilnet-bagazs-unicef https://telex.hu/tamogatott-tartalom/2021/12/12/digitalis-tudas-gyerek-latasserult-telekom-idea-informatika	default	default	 
34	<a class=direkt--hint href=@LINK target=@target>	27.764705882352942	4.0	0.0	https://telex.hu/direkt36/2021/11/04/a-szocialista-kormanyok-kulugyi-vezetojenek-karibi-cege-is-feltunik-a-legujabb-offshore-kiszivargasban https://telex.hu/direkt36/2021/11/05/igy-foszlott-szet-a-kormanyzati-kodosites-a-pegasus-ugyben https://telex.hu/direkt36/2021/10/03/a-cseh-kormanyfo-francia-kastelya-es-tony-blair-haza-is-elokerul-a-pandora-iratokban https://telex.hu/direkt36/2021/10/05/az-offshore-vilagban-is-hire-ment-hogy-magyarorszag-jo-hely-az-adozasi-manoverekre https://telex.hu/direkt36/2021/08/02/honapokon-at-megfigyeltek-pegasusszal-egy-korrupcios-ugyeken-is-dolgozo-bunugyi-ujsagirot	default	default	 
34	<div class=direkt--hint__txt>	27.764705882352942	0.0	27.764705882352942	https://telex.hu/direkt36/2021/12/13/ader-janos-koztarsasagi-elnok-es-csaladja-legkozelebbi-testoreit-is-megceloztak-a-pegasusszal https://telex.hu/direkt36/2021/10/03/rogan-antal-es-meszaros-lorinc-bizalmasainak-titkos-kulfoldi-uzleteire-is-feny-derul-a-legujabb-offshore-kiszivargasaban https://telex.hu/direkt36/2021/11/05/igy-foszlott-szet-a-kormanyzati-kodosites-a-pegasus-ugyben https://telex.hu/direkt36/2021/10/05/az-offshore-vilagban-is-hire-ment-hogy-magyarorszag-jo-hely-az-adozasi-manoverekre https://telex.hu/direkt36/2021/11/11/a-paks-2-t-epito-oroszok-negyedmilliardert-berelnek-irodat-a-korabbi-helyi-fidesz-elnoktol	default	default	 
